Index([u'Genero', u'Edad', u'Dpr', u'DIRA', u'CausaDIRA', u'Modo',
       u'TAS_antes', u'TAD_antes', u'FC_antes', u'TAS', u'TAD', u'FC',
       u'FR_antes', u'FiO2_antes', u'FiO2', u'PEEP', u'Temp', u'dVM', u'Hb',
       u'Clase'],
      dtype='object')
('DNN[5, 5]', {'average_loss': 0.8434743, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 37.11287})
('DNN[5, 6]', {'average_loss': 0.84031695, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.973946})
('DNN[5, 7]', {'average_loss': 0.8824114, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 38.826103})
('DNN[5, 8]', {'average_loss': 0.82214683, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.17446})
('DNN[5, 9]', {'average_loss': 0.8542206, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 37.58571})
('DNN[5, 10]', {'average_loss': 0.9711046, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 42.728603})
('DNN[6, 5]', {'average_loss': 0.84534746, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.19529})
('DNN[6, 6]', {'average_loss': 0.8152698, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 35.871872})
('DNN[6, 7]', {'average_loss': 0.83036727, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.53616})
('DNN[6, 8]', {'average_loss': 0.81427175, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.827957})
('DNN[6, 9]', {'average_loss': 0.84582084, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.216118})
('DNN[6, 10]', {'average_loss': 0.82186145, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.161903})
('DNN[7, 5]', {'average_loss': 0.83583, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.77652})
('DNN[7, 6]', {'average_loss': 0.83644885, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.80375})
('DNN[7, 7]', {'average_loss': 1.1957345, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 52.612316})
('DNN[7, 8]', {'average_loss': 0.8442556, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.147247})
('DNN[7, 9]', {'average_loss': 0.8084272, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.570797})
('DNN[7, 10]', {'average_loss': 0.8660139, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.10461})
('DNN[8, 5]', {'average_loss': 0.74819255, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 32.92047})
('DNN[8, 6]', {'average_loss': 0.83781564, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.863888})
('DNN[8, 7]', {'average_loss': 0.82644343, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.36351})
('DNN[8, 8]', {'average_loss': 0.85705054, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 37.710224})
('DNN[8, 9]', {'average_loss': 0.8413341, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.0187})
('DNN[8, 10]', {'average_loss': 0.7696238, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 33.86345})
('DNN[9, 5]', {'average_loss': 0.8408083, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.995564})
('DNN[9, 6]', {'average_loss': 0.71419525, 'accuracy': 0.77272725, 'global_step': 500, 'loss': 31.424591})
('DNN[9, 7]', {'average_loss': 0.81230265, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.741318})
('DNN[9, 8]', {'average_loss': 0.83231074, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.621674})
('DNN[9, 9]', {'average_loss': 0.8252123, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.30934})
('DNN[9, 10]', {'average_loss': 0.85592324, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.66062})
('DNN[10, 5]', {'average_loss': 0.88227123, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.819935})
('DNN[10, 6]', {'average_loss': 0.8119164, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.724323})
('DNN[10, 7]', {'average_loss': 0.79273516, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 34.88035})
('DNN[10, 8]', {'average_loss': 0.8500653, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.402874})
('DNN[10, 9]', {'average_loss': 0.8352652, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.75167})
('DNN[10, 10]', {'average_loss': 0.90831655, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 39.965927})
('DNN[5, 5, 5]', {'average_loss': 0.84616435, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.23123})
('DNN[5, 5, 6]', {'average_loss': 0.82104397, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.125935})
('DNN[5, 5, 7]', {'average_loss': 0.9119028, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 40.123722})
('DNN[5, 5, 8]', {'average_loss': 0.716226, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 31.513943})
('DNN[5, 5, 9]', {'average_loss': 0.79964066, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 35.18419})
('DNN[5, 5, 10]', {'average_loss': 0.8286653, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.461273})
('DNN[5, 6, 5]', {'average_loss': 0.74850184, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 32.934082})
('DNN[5, 6, 6]', {'average_loss': 0.8407664, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.99372})
('DNN[5, 6, 7]', {'average_loss': 0.9762835, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 42.956474})
('DNN[5, 6, 8]', {'average_loss': 0.83854026, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.89577})
('DNN[5, 6, 9]', {'average_loss': 0.8386551, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.900826})
('DNN[5, 6, 10]', {'average_loss': 0.7990919, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.16004})
('DNN[5, 7, 5]', {'average_loss': 0.8486982, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.34272})
('DNN[5, 7, 6]', {'average_loss': 0.8022395, 'accuracy': 0.75, 'global_step': 500, 'loss': 35.29854})
('DNN[5, 7, 7]', {'average_loss': 0.781846, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 34.401222})
('DNN[5, 7, 8]', {'average_loss': 0.84504867, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.18214})
('DNN[5, 7, 9]', {'average_loss': 0.8392134, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.92539})
('DNN[5, 7, 10]', {'average_loss': 0.80461556, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.403084})
('DNN[5, 8, 5]', {'average_loss': 0.8583359, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.76678})
('DNN[5, 8, 6]', {'average_loss': 0.8440659, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.1389})
('DNN[5, 8, 7]', {'average_loss': 0.83115214, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.570694})
('DNN[5, 8, 8]', {'average_loss': 0.82651806, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 36.366795})
('DNN[5, 8, 9]', {'average_loss': 0.8367965, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.819046})
('DNN[5, 8, 10]', {'average_loss': 0.8332993, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.66517})
('DNN[5, 9, 5]', {'average_loss': 0.8863345, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.99872})
('DNN[5, 9, 6]', {'average_loss': 0.8081373, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 35.55804})
('DNN[5, 9, 7]', {'average_loss': 0.8371771, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.835793})
('DNN[5, 9, 8]', {'average_loss': 0.8386516, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.90067})
('DNN[5, 9, 9]', {'average_loss': 0.7964828, 'accuracy': 0.75, 'global_step': 500, 'loss': 35.045242})
('DNN[5, 9, 10]', {'average_loss': 0.931408, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 40.981953})
('DNN[5, 10, 5]', {'average_loss': 0.81819403, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.000538})
('DNN[5, 10, 6]', {'average_loss': 0.75309664, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 33.136253})
('DNN[5, 10, 7]', {'average_loss': 0.9893129, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 43.529766})
('DNN[5, 10, 8]', {'average_loss': 0.8379288, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.868866})
('DNN[5, 10, 9]', {'average_loss': 0.77807564, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 34.23533})
('DNN[5, 10, 10]', {'average_loss': 0.80034083, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 35.214996})
